time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0284,0.35344,217.645,-5.87889
0.0285,0.358119,218.496,-5.88769
0.0286,0.362772,219.14,-5.89813
0.0287,0.367395,219.575,-5.91022
0.0288,0.371985,219.801,-5.92396
0.0289,0.37654,219.818,-5.93938
0.029,0.381056,219.625,-5.95646
0.0291,0.38553,219.223,-5.97523
0.0292,0.389961,218.613,-5.99568
0.0293,0.394345,217.794,-6.01782
0.0294,0.398679,216.767,-6.04164
0.0295,0.402963,215.534,-6.06714
0.0296,0.407192,214.095,-6.09433
0.0297,0.411365,212.452,-6.12319
0.0298,0.41548,210.607,-6.15372
0.0299,0.419535,208.56,-6.18592
0.03,0.423528,206.315,-6.21977
0.0301,0.427456,203.873,-6.25527
0.0302,0.431318,201.237,-6.29239
0.0303,0.435113,198.409,-6.33113
0.0304,0.438838,195.391,-6.37147
0.0305,0.442491,192.188,-6.4134
0.0306,0.446072,188.802,-6.45689
0.0307,0.449579,185.236,-6.50193
0.0308,0.453009,181.493,-6.54849
0.0309,0.456363,177.579,-6.59655
0.031,0.459637,173.495,-6.64609
0.0311,0.462832,169.246,-6.69708
0.0312,0.465945,164.837,-6.74949
0.0313,0.468976,160.272,-6.8033
0.0314,0.471923,155.555,-6.85848
0.0315,0.474785,150.691,-6.91499
0.0316,0.477562,145.684,-6.97281
0.0317,0.480251,140.54,-7.03189
0.0318,0.482853,135.263,-7.09221
0.0319,0.485366,129.859,-7.15373
0.032,0.487789,124.333,-7.21641
0.0321,0.490121,118.691,-7.28021
0.0322,0.492362,112.937,-7.3451
0.0323,0.494511,107.079,-7.41104
0.0324,0.496566,101.12,-7.47798
0.0325,0.498528,95.0685,-7.54588
0.0326,0.500396,88.929,-7.6147
0.0327,0.502169,82.7078,-7.68441
0.0328,0.503846,76.4111,-7.75494
0.0329,0.505427,70.0451,-7.82626
0.033,0.506912,63.6161,-7.89833
0.0331,0.508299,57.1305,-7.97109
0.0332,0.509589,50.5945,-8.0445
0.0333,0.510782,44.0148,-8.11852
0.0334,0.511876,37.3977,-8.19309
0.0335,0.512871,30.7498,-8.26816
0.0336,0.513767,24.0777,-8.34369
0.0337,0.514565,17.3879,-8.41964
0.0338,0.515263,10.6871,-8.49594
0.0339,0.515862,3.98188,-8.57255
0.034,0.516361,-2.72114,-8.64942
0.0341,0.51676,-9.41533,-8.7265
0.0342,0.51706,-16.0941,-8.80374
0.0343,0.517259,-22.7508,-8.8811
0.0344,0.517359,-29.3789,-8.95851
0.0345,0.517359,-35.9719,-9.03593
0.0346,0.517259,-42.5232,-9.11331
0.0347,0.517059,-49.0263,-9.19061
0.0348,0.51676,-55.4749,-9.26776
0.0349,0.516361,-61.8625,-9.34472
0.035,0.515863,-68.1829,-9.42144
0.0351,0.515265,-74.4298,-9.49788
0.0352,0.514569,-80.5971,-9.57397
0.0353,0.513775,-86.6786,-9.64969
0.0354,0.512882,-92.6684,-9.72497
